,,,
Description,Position/ Level,Quantity,Unit
"Removed, including providing a suitable tip",1,,
hand loading,1,1,m3
hand loading,1,1,m3
machine loading,2,1,m3
machine loading,2,1,m3
On site disposal of material arising from earthworks,16,,
Backfilled into excavation; compacting in 250mm layers,1,,
by hand,1,1,m3
by hand,1,1,m3
by machine,2,1,m3
by machine,2,1,m3
by machine,2,1,m3
Backfilled in making up levels; by hand; compacting in 250mm layers; wheeling average,2,,
25m,1,1,m3
25m,1,1,m3
50m,2,1,m3
50m,2,1,m3
75m,3,1,m3
75m,3,1,m3
100m,4,1,m3
100m,4,1,m3
Backfilled in making up levels; by machine; compacting in 250mm layers; transporting average,3,,
25m,1,1,m3
25m,1,1,m3
25m,1,1,m3
25m,1,1,m3
50m,2,1,m3
50m,2,1,m3
50m,2,1,m3
50m,2,1,m3
75m,3,1,m3
75m,3,1,m3
75m,3,1,m3
75m,3,1,m3
100m,4,1,m3
100m,4,1,m3
100m,4,1,m3
100m,4,1,m3
Backfilled oversite to make up levels; by hand; compacting in 250mm layers; wheeling average,4,,
25m,1,1,m3
25m,1,1,m3
50m,2,1,m3
50m,2,1,m3
75m,3,1,m3
75m,3,1,m3
100m,4,1,m3
100m,4,1,m3
Backfilled oversite to make up levels; by machine; compacting in 250mm layers; transporting average,5,,
25m,1,1,m3
25m,1,1,m3
25m,1,1,m3
25m,1,1,m3
50m,2,1,m3
50m,2,1,m3
50m,2,1,m3
50m,2,1,m3
75m,3,1,m3
75m,3,1,m3
75m,3,1,m3
75m,3,1,m3
100m,4,1,m3
100m,4,1,m3
100m,4,1,m3
100m,4,1,m3
"Grading backfilled oversite to contours, embankments or the like; by hand",6,,
to falls,1,1,m3
to falls and cross-falls,2,1,m3
to slopes,3,1,m3
"Grading backfilled oversite to contours, embankments or the like; by machine",7,,
to falls,1,1,m3
to falls,1,1,m3
to falls and cross-falls,2,1,m3
to falls and cross-falls,2,1,m3
to slopes,3,1,m3
to slopes,3,1,m3
Filling to excavations with materials arising from earthworks,17,,
Backfilled into excavation; compacting in 250mm layers,1,,
by hand,1,1,m3
by hand,1,1,m3
by machine,2,1,m3
by machine,2,1,m3
by machine,2,1,m3
Backfilled in making up levels; by hand; compacting in 250mm layers; wheeling average,2,,
25m,1,1,m3
25m,1,1,m3
50m,2,1,m3
50m,2,1,m3
75m,3,1,m3
75m,3,1,m3
100m,4,1,m3
100m,4,1,m3
Backfilled in making up levels; by machine; compacting in 250mm layers; transporting average,3,,
25m,1,1,m3
25m,1,1,m3
25m,1,1,m3
25m,1,1,m3
50m,2,1,m3
50m,2,1,m3
50m,2,1,m3
50m,2,1,m3
75m,3,1,m3
75m,3,1,m3
75m,3,1,m3
75m,3,1,m3
100m,4,1,m3
100m,4,1,m3
100m,4,1,m3
100m,4,1,m3
Backfilled oversite to make up levels; by hand; compacting in 250mm layers; wheeling average,4,,
25m,1,1,m3
25m,1,1,m3
50m,2,1,m3
50m,2,1,m3
75m,3,1,m3
75m,3,1,m3
100m,4,1,m3
100m,4,1,m3
Backfilled oversite to make up levels; by machine; compacting in 250mm layers; transporting average,5,,
25m,1,1,m3
25m,1,1,m3
25m,1,1,m3
25m,1,1,m3
50m,2,1,m3
50m,2,1,m3
50m,2,1,m3
50m,2,1,m3
75m,3,1,m3
75m,3,1,m3
75m,3,1,m3
75m,3,1,m3
100m,4,1,m3
100m,4,1,m3
100m,4,1,m3
100m,4,1,m3
"Grading backfilled oversite to contours, embankments or the like; by hand",6,,
to falls,1,1,m3
to falls and cross-falls,2,1,m3
to slopes,3,1,m3
"Grading backfilled oversite to contours, embankments or the like; by machine",7,,
to falls,1,1,m3
to falls,1,1,m3
to falls and cross-falls,2,1,m3
to falls and cross-falls,2,1,m3
to slopes,3,1,m3
to slopes,3,1,m3
Filling to excavations with imported materials,18,,
Filled into excavation; by hand compacting in layers,1,,
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
Filled into excavation; by machine; compacting in layers,2,,
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
Filled in making up levels; by hand; compacting in layers,3,,
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
Filled in making up levels; by machine; compacting in layers,4,,
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
Filled into oversite to make up levels; by hand; compacting in layers; average 150mm thick,5,,
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
Filled into oversite to make up levels; by machine; compacting in layers; average 150mm thick,6,,
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
"Grading filled oversite to contours, embankments or the like; by hand",7,,
to falls,1,1,m2
to falls and cross-falls,2,1,m2
to slopes,3,1,m2
"Grading filled oversite to contours, embankments or the like; by machine",8,,
to falls,1,1,m2
to falls,1,1,m2
to falls and cross-falls,2,1,m2
to falls and cross-falls,2,1,m2
to slopes,3,1,m2
to slopes,3,1,m2
Blinding to hardcore,9,,
25mm sand,1,1,m2
25mm sand,1,1,m2
50mm sand,2,1,m2
50mm sand,2,1,m2
Surface treatment,19,,
Level and compact,1,,
ground,1,1,m2
ground,1,1,m2
filling,2,1,m2
filling,2,1,m2
bottoms of excavations,3,1,m2
bottoms of excavations,3,1,m2
D30: CAST IN PLACE CONCRETE PILING,2,,
Driven shell piles; rotary bored,1,,
Provision of all plant including bringing to site and removal on completion; setting up and subsequent dismantling; general maintenance,1,,
average 100Nr piles,1,1,item
average 100Nr piles,1,1,item
Piles 400mm dia,2,,
total number of piles,1,1,nr
total number of piles,1,1,nr
total concreted length,2,1,m
total concreted length,2,1,m
total concreted length,2,1,m
total concreted length,2,1,m
total concreted length,2,1,m
10m max bored depth,3,1,m
10m max bored depth,3,1,m
15m max bored depth,4,1,m
15m max bored depth,4,1,m
20m max bored depth,5,1,m
20m max bored depth,5,1,m
extra over for enlarging bases 900mm extreme dia,6,1,nr
extra over for enlarging bases 900mm extreme dia,6,1,nr
extra over for enlarging bases 900mm extreme dia,6,1,nr
Cutting off tops of piles; 400mm dia,3,,
total length 2.00m,1,1,m
total length 2.00m,1,1,m
Pile tests; 400mm dia,4,,
working piles; maintained loading 500kN,1,1,nr
working piles; maintained loading 500kN,1,1,nr
D31: PREFORMED CONCRETE PILES,3,,
Reinforced concrete piles,1,,
Provision of all plant including bringing to site and removal on completion; setting up and subsequent dismantling; general maintenance,1,,
average 100Nr piles,1,1,item
average 100Nr piles,1,1,item
Sectional size; 600mm dia,2,,
10m max total driven depth,1,1,m
10m max total driven depth,1,1,m
10m max total driven depth,1,1,m
15m total driven depth,2,1,m
15m total driven depth,2,1,m
15m total driven depth,2,1,m
20m total driven depth,3,1,m
20m total driven depth,3,1,m
20m total driven depth,3,1,m
Cutting off tops of piles; 600mm dia,3,,
total length 2.00m,1,1,nr
total length 2.00m,1,1,nr
Pile tests; 600mm dia,4,,
working pile; maintained loading 500kN,1,1,nr
working pile; maintained loading 500kN,1,1,nr
D50: UNDERPINNING,4,,
Machine excavation,1,,
Excavation in preliminary trenches down to the base of the existing foundations; depth not exceeding,1,,
0.25m,1,1,m3
0.25m,1,1,m3
1.00m,2,1,m3
1.00m,2,1,m3
2.00m,3,1,m3
2.00m,3,1,m3
4.00m,4,1,m3
4.00m,4,1,m3
6.00m,5,1,m3
6.00m,5,1,m3
Excavation below the base of the existing foundations; depth not exceeding,2,,
1.00m,1,1,m3
1.00m,1,1,m3
2.00m,2,1,m3
2.00m,2,1,m3
4.00m,3,1,m3
4.00m,3,1,m3
6.00m,4,1,m3
6.00m,4,1,m3
Hand excavation,2,,
Excavation in preliminary trenches down to the base of the existing foundations; depth not exceeding,1,,
0.25m,1,1,m3
1.00m,2,1,m3
2.00m,3,1,m3
4.00m,4,1,m3
6.00m,5,1,m3
Excavation below the base of the existing foundations; depth not exceeding,2,,
1.00m,1,1,m3
2.00m,2,1,m3
4.00m,3,1,m3
6.00m,4,1,m3
Breaking up obstructions with hand held mechanical tools,3,,
Extra over excavation for breaking out,1,,
soft rock or brickwork,1,1,m3
soft rock or brickwork,1,1,m3
soft rock or brickwork,1,1,m3
hard rock,2,1,m3
hard rock,2,1,m3
hard rock,2,1,m3
plain concrete,3,1,m3
plain concrete,3,1,m3
plain concrete,3,1,m3
reinforced concrete,4,1,m3
reinforced concrete,4,1,m3
reinforced concrete,4,1,m3
Breaking out pavings with hand held compressor tools,4,,
Excavation in tarmac paving,1,,
not exceeding 150mm thick,1,1,m2
not exceeding 150mm thick,1,1,m2
not exceeding 150mm thick,1,1,m2
150 - 300mm thick,2,1,m2
150 - 300mm thick,2,1,m2
150 - 300mm thick,2,1,m2
300 - 450mm thick,3,1,m2
300 - 450mm thick,3,1,m2
300 - 450mm thick,3,1,m2
Excavation in plain concrete paving,2,,
not exceeding 150mm thick,1,1,m2
not exceeding 150mm thick,1,1,m2
not exceeding 150mm thick,1,1,m2
150 - 300mm thick,2,1,m2
150 - 300mm thick,2,1,m2
150 - 300mm thick,2,1,m2
300 - 450mm thick,3,1,m2
300 - 450mm thick,3,1,m2
300 - 450mm thick,3,1,m2
Excavation in reinforced concrete paving,3,,
not exceeding 150mm thick,1,1,m2
not exceeding 150mm thick,1,1,m2
not exceeding 150mm thick,1,1,m2
not exceeding 150mm thick,1,1,m2
150 - 300mm thick,2,1,m2
150 - 300mm thick,2,1,m2
150 - 300mm thick,2,1,m2
150 - 300mm thick,2,1,m2
300 - 450mm thick,3,1,m2
300 - 450mm thick,3,1,m2
300 - 450mm thick,3,1,m2
300 - 450mm thick,3,1,m2
Timber earthwork support to firm ground,5,,
To sides of excavation not exceeding 2.00m apart; depth not exceeding,1,,
1.00m,1,1,m2
1.00m,1,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
To sides of excavation 2.00 - 4.00m apart; depth not exceeding,2,,
1.00m,1,1,m2
1.00m,1,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
To sides of excavation over 4.00m apart; depth not exceeding,3,,
1.00m,1,1,m2
1.00m,1,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
Timber earthwork support to loose ground,6,,
To sides of excavation not exceeding 2.00m apart; depth not exceeding,1,,
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
To sides of excavation 2.00 - 4.00m apart; depth not exceeding,2,,
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
To sides of excavation over 4.00m apart; depth not exceeding,3,,
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
Steel trench sheeting to firm ground,7,,
To sides of excavation not exceeding 2.00m apart; depth not exceeding,1,,
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
To sides of excavation 2.00 - 4.00m apart; depth not exceeding,2,,
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
To sides of excavation over 4.00m apart; depth not exceeding,3,,
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
Steel trench sheeting to loose ground,8,,
To sides of excavation not exceeding 2.00m apart; depth not exceeding,1,,
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
To sides of excavation 2.00 - 4.00m apart; depth not exceeding,2,,
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
To sides of excavation over 4.00m apart; depth not exceeding,3,,
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
1.00m,1,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
2.00m,2,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
4.00m,3,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
6.00m,4,1,m2
Cutting away projecting foundations,9,,
Brick,1,,
"half brick thick, one course",1,1,m
"half brick thick, two course",2,1,m
"half brick thick, three course",3,1,m
"half brick thick, three course",3,1,m
"half brick thick, four course",4,1,m
"half brick thick, four course",4,1,m
"half brick thick, five course",5,1,m
"half brick thick, five course",5,1,m
"one brick thick, one course",6,1,m
"one brick thick, one course",6,1,m
"one brick thick, two course",7,1,m
"one brick thick, two course",7,1,m
"one brick thick, three course",8,1,m
"one brick thick, three course",8,1,m
"one brick thick, four course",9,1,m
"one brick thick, four course",9,1,m
"one brick thick, five course",10,1,m
"one brick thick, five course",10,1,m
"one and a half brick thick, one course",11,1,m
"one and a half brick thick, one course",11,1,m
"one and a half brick thick, two course",12,1,m
"one and a half brick thick, two course",12,1,m
"one and a half brick thick, three course",13,1,m
"one and a half brick thick, three course",13,1,m
"one and a half brick thick, four course",14,1,m
"one and a half brick thick, four course",14,1,m
"one and a half brick thick, five course",15,1,m
"one and a half brick thick, five course",15,1,m
"two brick thick, one course",16,1,m
"two brick thick, one course",16,1,m
"two brick thick, two course",17,1,m
"two brick thick, two course",17,1,m
"two brick thick, three course",18,1,m
"two brick thick, three course",18,1,m
"two brick thick, four course",19,1,m
"two brick thick, four course",19,1,m
"two brick thick, five course",20,1,m
"two brick thick, five course",20,1,m
Concrete,2,,
"not exceeding 150mm thick, not exceeding 150mm wide",1,1,m
"not exceeding 150mm thick, not exceeding 150mm wide",1,1,m
"not exceeding 150mm thick, 150 - 300mm wide",2,1,m
"not exceeding 150mm thick, 150 - 300mm wide",2,1,m
"not exceeding 150mm thick, 300 - 450mm wide",3,1,m
"not exceeding 150mm thick, 300 - 450mm wide",3,1,m
"150 - 300mm thick, not exceeding 150mm wide",4,1,m
"150 - 300mm thick, not exceeding 150mm wide",4,1,m
"150 - 300mm thick, 150 - 300mm wide",5,1,m
"150 - 300mm thick, 150 - 300mm wide",5,1,m
"150 - 300mm thick, 300 - 450mm wide",6,1,m
"150 - 300mm thick, 300 - 450mm wide",6,1,m
"300 - 450mm thick, not exceeding 150mm wide",7,1,m
"300 - 450mm thick, not exceeding 150mm wide",7,1,m
"300 - 450mm thick, 150 - 300mm wide",8,1,m
"300 - 450mm thick, 150 - 300mm wide",8,1,m
"300 - 450mm thick, 300 - 450mm wide",9,1,m
"300 - 450mm thick, 300 - 450mm wide",9,1,m
Wedging and grouting up between new and existing work,10,,
Slates in cement mortar (1:3),1,,
half brick wide,1,1,m
half brick wide,1,1,m
half brick wide,1,1,m
one brick wide,2,1,m
one brick wide,2,1,m
one brick wide,2,1,m
one and a half brick wide,3,1,m
one and a half brick wide,3,1,m
one and a half brick wide,3,1,m
two brick wide,4,1,m
two brick wide,4,1,m
two brick wide,4,1,m
Neat cement slurry,2,,
not exceeding 150mm wide,1,1,m
not exceeding 150mm wide,1,1,m
not exceeding 150mm wide,1,1,m
not exceeding 150mm wide,1,1,m
not exceeding 150mm wide,1,1,m
150 - 300mm wide,2,1,m
150 - 300mm wide,2,1,m
150 - 300mm wide,2,1,m
150 - 300mm wide,2,1,m
150 - 300mm wide,2,1,m
300 - 450mm wide,3,1,m
300 - 450mm wide,3,1,m
300 - 450mm wide,3,1,m
300 - 450mm wide,3,1,m
300 - 450mm wide,3,1,m
Epoxy cement non-shrinking grout,3,,
not exceeding 150mm wide,1,1,m
not exceeding 150mm wide,1,1,m
not exceeding 150mm wide,1,1,m
not exceeding 150mm wide,1,1,m
not exceeding 150mm wide,1,1,m
150 - 300mm wide,2,1,m
150 - 300mm wide,2,1,m
150 - 300mm wide,2,1,m
150 - 300mm wide,2,1,m
150 - 300mm wide,2,1,m
300 - 450mm wide,3,1,m
300 - 450mm wide,3,1,m
300 - 450mm wide,3,1,m
300 - 450mm wide,3,1,m
300 - 450mm wide,3,1,m
Off site disposal of material arising from earthworks,11,,
"Removed, including providing a suitable tip",1,,
hand loading,1,1,m3
hand loading,1,1,m3
machine loading,2,1,m3
machine loading,2,1,m3
Filling to excavations with materials arising from earthworks,12,,
Backfilled into excavation; compacting in layers,1,,
by hand,1,1,m3
by hand,1,1,m3
Backfilled in making up levels; by hand; compacting in layers; wheeling average,2,,
25m,1,1,m3
25m,1,1,m3
50m,2,1,m3
50m,2,1,m3
75m,3,1,m3
75m,3,1,m3
100m,4,1,m3
100m,4,1,m3
Filling to excavations with imported materials,13,,
Filled into excavation; by hand; compacting in layers,1,,
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
granite scalpings,6,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
Filled in making up levels; by hand; compacting in layers,2,,
sand,1,1,m3
sand,1,1,m3
sand,1,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
crushed brick hardcore,2,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
hoggin,3,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
DTp type 1,4,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
stone rejects,5,1,m3
granite chippings,6,1,m3
granite chippings,6,1,m3
granite chippings,6,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
crushed concrete hardcore,7,1,m3
Plain in-situ concrete; mix C15P,14,,
Foundations; poured on or against earth or unblinded hardcore,1,,
generally,1,1,m3
generally,1,1,m3
Isolated foundations; poured on or against earth or unblinded hardcore,2,,
generally,1,1,m3
generally,1,1,m3
Plain in-situ concrete; mix C20P,15,,
Foundations; poured on or against earth or unblinded hardcore,1,,
generally,1,1,m3
generally,1,1,m3
Isolated foundations; poured on or against earth or unblinded hardcore,2,,
generally,1,1,m3
generally,1,1,m3
Reinforced in-situ concrete; mix C25P,16,,
Foundations,1,,
generally,1,1,m3
generally,1,1,m3
generally,1,1,m3
Isolated foundations,2,,
generally,1,1,m3
generally,1,1,m3
generally,1,1,m3
Walls,3,,
not exceeding 150mm thick,1,1,m3
not exceeding 150mm thick,1,1,m3
not exceeding 150mm thick,1,1,m3
150 - 450mm thick,2,1,m3
150 - 450mm thick,2,1,m3
150 - 450mm thick,2,1,m3
over 450mm thick,3,1,m3
over 450mm thick,3,1,m3
over 450mm thick,3,1,m3
Upstands,4,,
generally,1,1,m3
generally,1,1,m3
generally,1,1,m3
Formwork to general finish,17,,
Sides of foundations,1,,
not exceeding 250mm high,1,1,m
not exceeding 250mm high,1,1,m
not exceeding 250mm high,1,1,m
not exceeding 250mm high,1,1,m
not exceeding 250mm high,1,1,m
250 - 500mm high,2,1,m
250 - 500mm high,2,1,m
250 - 500mm high,2,1,m
250 - 500mm high,2,1,m
250 - 500mm high,2,1,m
500 - 1000mm high,3,1,m
500 - 1000mm high,3,1,m
500 - 1000mm high,3,1,m
500 - 1000mm high,3,1,m
500 - 1000mm high,3,1,m
over 1000mm high,4,1,m2
over 1000mm high,4,1,m2
over 1000mm high,4,1,m2
over 1000mm high,4,1,m2
over 1000mm high,4,1,m2
Sides of upstands,2,,
not exceeding 250mm wide,1,1,m
not exceeding 250mm wide,1,1,m
not exceeding 250mm wide,1,1,m
not exceeding 250mm wide,1,1,m
not exceeding 250mm wide,1,1,m
250 - 500mm wide,2,1,m
250 - 500mm wide,2,1,m
250 - 500mm wide,2,1,m
250 - 500mm wide,2,1,m
250 - 500mm wide,2,1,m
500 - 1000mm wide,3,1,m
500 - 1000mm wide,3,1,m
500 - 1000mm wide,3,1,m
500 - 1000mm wide,3,1,m
500 - 1000mm wide,3,1,m
500 - 1000mm wide,3,1,m
over 1000mm wide,4,1,m2
over 1000mm wide,4,1,m2
over 1000mm wide,4,1,m2
over 1000mm wide,4,1,m2
over 1000mm wide,4,1,m2
over 1000mm wide,4,1,m2
Walls,3,,
vertical surfaces,1,1,m2
vertical surfaces,1,1,m2
vertical surfaces,1,1,m2
vertical surfaces,1,1,m2
vertical surfaces,1,1,m2
vertical surfaces,1,1,m2
curved surfaces,2,1,m2
curved surfaces,2,1,m2
curved surfaces,2,1,m2
curved surfaces,2,1,m2
curved surfaces,2,1,m2
curved surfaces,2,1,m2
conical surfaces,3,1,m2
conical surfaces,3,1,m2
conical surfaces,3,1,m2
conical surfaces,3,1,m2
conical surfaces,3,1,m2
conical surfaces,3,1,m2
spherical surfaces,4,1,m2
spherical surfaces,4,1,m2
spherical surfaces,4,1,m2
spherical surfaces,4,1,m2
spherical surfaces,4,1,m2
spherical surfaces,4,1,m2
battering surfaces,5,1,m2
battering surfaces,5,1,m2
battering surfaces,5,1,m2
battering surfaces,5,1,m2
battering surfaces,5,1,m2
battering surfaces,5,1,m2
Wall ends and steps in walls,4,,
not exceeding 250mm wide,1,1,m
not exceeding 250mm wide,1,1,m
not exceeding 250mm wide,1,1,m
not exceeding 250mm wide,1,1,m
not exceeding 250mm wide,1,1,m
250 - 500mm wide,2,1,m
250 - 500mm wide,2,1,m
250 - 500mm wide,2,1,m
250 - 500mm wide,2,1,m
250 - 500mm wide,2,1,m
500 - 1000mm wide,3,1,m
500 - 1000mm wide,3,1,m
500 - 1000mm wide,3,1,m
500 - 1000mm wide,3,1,m
500 - 1000mm wide,3,1,m
500 - 1000mm wide,3,1,m
over 1000mm wide,4,1,m2
over 1000mm wide,4,1,m2
over 1000mm wide,4,1,m2
over 1000mm wide,4,1,m2
over 1000mm wide,4,1,m2
over 1000mm wide,4,1,m2
Openings in walls,5,,
not exceeding 250mm wide,1,1,m
not exceeding 250mm wide,1,1,m
not exceeding 250mm wide,1,1,m
not exceeding 250mm wide,1,1,m
not exceeding 250mm wide,1,1,m
250 - 500mm wide,2,1,m
